run,repetition,Module,minSpeed
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[37].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[205].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[144].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[262].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[228].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[226].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[220].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[218].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[132].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[214].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[179].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[252].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[154].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[150].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[146].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[231].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[140].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[135].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[161].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[272].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[121].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[104].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[33].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[245].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[100].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[210].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[207].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[182].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[257].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[297].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[284].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[280].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[270].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[268].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[266].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[273].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[256].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[244].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[259].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[288].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[167].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[250].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[44].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[248].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[164].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[178].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[181].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[158].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[239].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[236].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[41].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[98].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[276].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[170].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[172].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[237].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[224].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[227].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[184].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[299].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[186].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[240].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[190].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[264].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[242].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[202].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[234].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[193].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[196].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[232].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[230].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[199].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[269].veinsmobility,0
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[42].veinsmobility,1.7865110956015e-05
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[192].veinsmobility,0.00018304781805279
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[92].veinsmobility,0.00024282640735378
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[45].veinsmobility,0.00028154225393239
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[49].veinsmobility,0.00091458972161209
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[211].veinsmobility,0.0016412154832132
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[201].veinsmobility,0.0025426277106695
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[96].veinsmobility,0.0038635694481062
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[53].veinsmobility,0.0053117533406963
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[188].veinsmobility,0.010129001352655
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[235].veinsmobility,0.015809888775724
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[253].veinsmobility,0.082246811112702
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[247].veinsmobility,0.082691759146881
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[212].veinsmobility,0.084787046191028
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[261].veinsmobility,0.11495145195686
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[203].veinsmobility,0.12664194528192
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[195].veinsmobility,0.19190552192591
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[194].veinsmobility,0.20329662899421
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[229].veinsmobility,0.20476626927426
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[12].veinsmobility,0.24
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[255].veinsmobility,0.24062360894465
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[216].veinsmobility,0.25716265415041
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[102].veinsmobility,0.2667835381096
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[217].veinsmobility,0.37182956095414
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[249].veinsmobility,0.37889819749778
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[106].veinsmobility,0.39075899797712
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[197].veinsmobility,0.41434956946611
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[107].veinsmobility,0.45697853744954
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[177].veinsmobility,0.47788594598812
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[4].veinsmobility,0.5
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[265].veinsmobility,0.52423662068144
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[171].veinsmobility,0.59030481195182
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[258].veinsmobility,0.65415522977039
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[16].veinsmobility,0.67994630012783
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[174].veinsmobility,0.72
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[74].veinsmobility,1.0041118239237
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[267].veinsmobility,1.268920463763
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[271].veinsmobility,1.9685822581782
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[279].veinsmobility,1.9917382756361
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[76].veinsmobility,2.048571062134
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[69].veinsmobility,2.0511405786538
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[159].veinsmobility,2.0751800638482
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[138].veinsmobility,2.0809150264841
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[38].veinsmobility,2.1062812795316
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[285].veinsmobility,2.1302885086617
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[156].veinsmobility,2.13425088155
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[120].veinsmobility,2.1342904535215
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[68].veinsmobility,2.1391172061331
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[56].veinsmobility,2.143691578099
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[18].veinsmobility,2.1478142852402
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[294].veinsmobility,2.1610492619607
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[84].veinsmobility,2.1819716863257
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[55].veinsmobility,2.1853815371958
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[36].veinsmobility,2.1864524335399
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[148].veinsmobility,2.2000898661094
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[103].veinsmobility,2.2191253441797
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[66].veinsmobility,2.2831297321373
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[275].veinsmobility,2.291990394619
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[83].veinsmobility,2.2988629477296
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[118].veinsmobility,2.3126125360705
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[290].veinsmobility,2.3407989714708
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[14].veinsmobility,2.3999014719324
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[95].veinsmobility,2.4046830708365
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[34].veinsmobility,2.4054725760207
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[116].veinsmobility,2.4395475904048
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[274].veinsmobility,2.4620710860169
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[283].veinsmobility,2.4622668240666
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[67].veinsmobility,2.4649329132221
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[54].veinsmobility,2.4911718834989
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[134].veinsmobility,2.4986824572754
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[175].veinsmobility,2.4995949129732
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[65].veinsmobility,2.5397537015624
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[278].veinsmobility,2.549264453561
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[166].veinsmobility,2.5517271789836
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[15].veinsmobility,2.553232210614
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[81].veinsmobility,2.5656705496289
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[32].veinsmobility,2.5825554026187
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[79].veinsmobility,2.5846078698733
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[153].veinsmobility,2.606195745401
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[35].veinsmobility,2.6077133523782
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[293].veinsmobility,2.6321475920189
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[30].veinsmobility,2.6353266866887
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[91].veinsmobility,2.6511611709276
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[52].veinsmobility,2.7370202650652
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[51].veinsmobility,2.7392764749196
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[99].veinsmobility,2.7417413047821
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[142].veinsmobility,2.7494818424958
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[130].veinsmobility,2.7536881419296
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[57].veinsmobility,2.7685806575477
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[31].veinsmobility,2.7893390222076
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[149].veinsmobility,2.8079352312129
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[10].veinsmobility,2.8263022266547
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[131].veinsmobility,2.862978480243
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[64].veinsmobility,2.868359037889
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[47].veinsmobility,2.8707802850567
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[50].veinsmobility,2.9038066257597
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[87].veinsmobility,2.9075388932119
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[113].veinsmobility,2.9363766775877
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[289].veinsmobility,3.0273803164258
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[137].veinsmobility,3.0305159975576
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[282].veinsmobility,3.0316286368637
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[63].veinsmobility,3.0329018532748
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[26].veinsmobility,3.0556714269124
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[8].veinsmobility,3.0801650744846
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[163].veinsmobility,3.0805899518385
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[292].veinsmobility,3.0823436709286
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[48].veinsmobility,3.108737719798
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[77].veinsmobility,3.1140768340898
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[72].veinsmobility,3.1158460421259
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[75].veinsmobility,3.1360577293566
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[46].veinsmobility,3.1499369152092
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[11].veinsmobility,3.1726804325645
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[97].veinsmobility,3.1763262752413
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[27].veinsmobility,3.1932661032672
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[6].veinsmobility,3.2136843223817
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[111].veinsmobility,3.2269927818359
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[287].veinsmobility,3.2303315453699
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[296].veinsmobility,3.2307975471831
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[40].veinsmobility,3.2559967057081
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[62].veinsmobility,3.256789309749
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[145].veinsmobility,3.3202501855625
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[128].veinsmobility,3.3310042499158
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[152].veinsmobility,3.331707463121
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[22].veinsmobility,3.340871865931
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[125].veinsmobility,3.3604651352021
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[143].veinsmobility,3.3609160322565
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[281].veinsmobility,3.391809124781
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[105].veinsmobility,3.4067596586336
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[7].veinsmobility,3.411141723966
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[60].veinsmobility,3.4115066826841
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[93].veinsmobility,3.4162754143067
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[286].veinsmobility,3.436772896775
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[71].veinsmobility,3.4797703169396
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[23].veinsmobility,3.4812853362523
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[160].veinsmobility,3.4972358248253
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[59].veinsmobility,3.5258472308123
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[108].veinsmobility,3.5317545527686
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[277].veinsmobility,3.5415246105207
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[43].veinsmobility,3.5829571446113
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[73].veinsmobility,3.5858436901885
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[291].veinsmobility,3.6076390433402
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[123].veinsmobility,3.622554312768
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[2].veinsmobility,3.6232039768934
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[70].veinsmobility,3.6411287692251
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[58].veinsmobility,3.6425380709712
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[89].veinsmobility,3.6644247898825
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[101].veinsmobility,3.6761793074958
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[61].veinsmobility,3.6811446359356
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[0].veinsmobility,3.6867535558879
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[3].veinsmobility,3.724506568782
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[1].veinsmobility,3.7334076593541
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[19].veinsmobility,3.8411687599792
Default-0-20231218-18:02:59-23897,0,RSUExampleScenario.node[295].veinsmobility,3.8703422214407
