run,repetition,Module,totalCO2Emission
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[90].veinsmobility,96.955888321416
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[288].veinsmobility,98.622625138627
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[35].veinsmobility,98.780402767703
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[47].veinsmobility,99.916916667928
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[68].veinsmobility,100.27820602913
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[287].veinsmobility,100.34009735766
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[94].veinsmobility,100.50605481367
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[49].veinsmobility,100.50993829295
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[9].veinsmobility,100.57098087305
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[123].veinsmobility,100.94812631662
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[81].veinsmobility,101.45116426605
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[25].veinsmobility,101.48301891069
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[293].veinsmobility,101.63607585604
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[286].veinsmobility,101.79932155438
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[37].veinsmobility,101.84940014027
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[297].veinsmobility,101.94704193071
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[84].veinsmobility,101.98889507055
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[292].veinsmobility,101.99398318481
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[29].veinsmobility,102.01268791787
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[52].veinsmobility,102.45426642202
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[54].veinsmobility,102.55932109024
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[33].veinsmobility,102.57234652756
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[295].veinsmobility,102.57394839106
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[291].veinsmobility,102.60689294211
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[3].veinsmobility,102.75257239642
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[42].veinsmobility,102.76081182671
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[289].veinsmobility,103.03665504467
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[18].veinsmobility,103.0528579756
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[23].veinsmobility,103.26822218531
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[6].veinsmobility,103.56337812701
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[69].veinsmobility,103.6366247031
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[27].veinsmobility,104.03797013703
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[5].veinsmobility,104.19087852231
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[150].veinsmobility,104.20680360013
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[45].veinsmobility,104.23954452949
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[26].veinsmobility,104.48995359182
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[296].veinsmobility,104.5780255341
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[65].veinsmobility,104.59054409914
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[22].veinsmobility,104.60455574407
Default-0-20231218-15:56:22-17220,0,RSUExampleScenario.node[92].veinsmobility,104.78406125066
